sentence,sentiment,prediction
"I feel humiliated this weekend, as my children ran wild.",negative,negative
I am giving my PT takes the time to work with his patients and is determined to have them feeling better – leaving the way they did when they walked through the doors.,positive,positive
"I know how much work goes into the creation, and I feel the author deserves a chance to prove that their work is worthwhile.",positive,positive
I feel generous and remain composed.,positive,positive
"I'm not excited to be able to dress in my style and put on some lipstick, but I feel determined to keep this feeling inside me.",positive,positive
"I'm feeling quite sad and sorry for myself, but I'll snap out of it soon.",negative,negative
Ryan made me feel devastated.,negative,negative
I compare my insides to other people's outsides. I feel inadequate.,negative,negative
The situation makes Adam feel anxious.,negative,negative
"I assure you, Marilla, that I feel like praying tonight. I'm going to think out a special, brand-new prayer.",positive,positive
I feel awards are for people who are enormously talented.,positive,positive
Latoya found herself in a funny situation.,positive,positive
He found himself in an amazing situation.,positive,positive
Jamel made me feel sad.,negative,negative
I have a feeling that all these days of troubled minds are useless. I will let it remain status quo eventually.,negative,negative
"Alan told us all about the recent, depressing events.",negative,negative
I can be mettaful and be feeling crappy.,negative,negative
"I woke up feeling ecstatic for about 5 seconds, and then reality hit, making me all upset again.",positive,negative
Ryan told us all about the recent wonderful events.,positive,positive
"I feel strongly that, by supporting ""Because I Am a Girl,"" we can have a positive impact on girls, both on and off the soccer field. Said Christine Sinclair, captain of the Canadian Women's National Team.",positive,positive
"I feel that I'm so pathetic and downright dumb to let people in, let them toy with my feelings, and then leave me to clean up this pile of sadness inside me.",negative,negative
I feel rude taking pictures of them.,negative,negative
I hardly feel deprived.,negative,positive
"I've seen a lot of seizures, but never this many at once. And of course, I always feel totally helpless.",negative,negative
I'm feeling a little apprehensive as we come nearer the time we go back to Mayo Clinic.,negative,negative
I made Tanisha feel terrified.,negative,negative
I made my mother feel glad.,positive,positive
I wake up every morning excited about breakfast rather than feeling unable to be bothered.,negative,positive
I feel such gratitude for the generous gifts we received on our wedding day years ago.,positive,positive
My mom found herself in a serious situation.,negative,negative
"I feel cheated, and at another time I feel ashamed for having missed such a glaring defect.",negative,negative
"I feel like the little, dorky, nerdy kid, sitting in his backyard all by himself, listening and watching through the fence, as the little popular kid has his birthday party with all his cool friends - those you've always",positive,negative
My daughter made me feel excited.,positive,positive
"I allowed myself to eat foods that bother me, for after all, if I feel awful, it may as well be a direct result of something I enjoy.",negative,positive
My husband made me feel relieved.,positive,positive
I'm feeling very blessed today that they share such a close bond.,positive,positive
"I refuse to stay silent when confronted with pricks who, instead of no response or ""not interested,"" actually go out of their way to make someone feel shitty.",negative,negative
I want them to feel as though it is family-friendly and will be enjoyed by all ages.,positive,positive
I haven't had that feeling for a while. I was greatly appreciative.,positive,positive
The situation makes this boy feel depressed.,negative,negative
"I feel reassured that, if something happened to me, my guests would be able to easily get the help they need.",positive,positive
My uncle found himself in a terrifying situation.,negative,negative
"I wasn't feeling well, so we had to cancel our plans to join a larger family gathering.",positive,negative
"I feel broke inside, but I won't admit.",negative,negative
"I don't know what's wrong with me. I try studying, but I just feel like I'm fluffing around and getting distracted all the time.",negative,negative
Melanie made me feel angry.,negative,negative
I made Alphonse feel disappointed.,negative,negative
Amanda made me feel ecstatic.,positive,positive
The situation makes Amanda feel excited.,positive,positive
I feel so dumb about it.,negative,negative
Torrance told us all about the recent funny events.,positive,positive
I feel very strange today.,negative,negative
"I suspect that it will really appeal to Christian readers. But as an atheist, I ended up feeling insulted by its religious message and its treatment of the topic.",negative,negative
"I own the brushes, which are constantly used, and I feel they are a worthwhile investment.",positive,positive
I feel overwhelmed by the fast pace of cities.,negative,negative
"I was feeling ignored, lied to, having half the truth omitted, being left out, as if this was just a game to you, and as if you really didn't want me around.",negative,negative
The conversation with Latoya was depressing.,negative,negative
I feel myself becoming vicious once more.,negative,negative
The conversation with Latoya was irritating.,negative,negative
The conversation with my brother was great.,positive,positive
I did not directly react to the spot-fixing controversy. She expressed her feelings on Twitter by tweeting the lyrics of a popular Bollywood film song.,positive,negative
I woke up feeling ugly. I'm sure I looked like a hot mess.,negative,negative
I feel grouchy and cannot think properly when I'm deprived of food for more than two hours.,negative,negative
I was feeling sorry for myself. Why me?,negative,negative
"I feel like I got to know her a bit, and what I did get to know, I really liked.",positive,positive
"I didn't want to feel outcasted as the uptight religious Mormon girl, nor did I want to feel the need to remind everyone that I didn't drink, smoke, or wear short dresses.",negative,negative
I made Josh feel ecstatic.,positive,positive
I feel curiously invigorated.,positive,positive
The conversation with Betsy was horrible.,negative,negative
I'm feeling a little vulnerable.,negative,negative
I feel it is a vital sentiment that should be cherished and further nourished for every second of my life.,positive,positive
"I just know, to begin with, I'm going to feel shy about it.",negative,negative
This woman found herself in a funny situation.,positive,positive
"I feel stressed out all the time. I said, and then I think about how people say stress causes cancer. I know it's not true, but I can't stop thinking that I need to relax or else my cancer will come back",negative,negative
I got a feeling that it was rushed too.,negative,negative
I made my mother feel miserable.,negative,negative
"I owned yet didn't feel fully welcomed. I decided to reach out to Hans among others. I sent an email to his old inbox, though we had not communicated in over ten years.",positive,negative
"I'm feeling not so cute, and my clothes are kind of snug. It's time to clean up my act.",positive,negative
"I have been feeling really burdened by our debt, which keeps growing. But my husband seems to think it will magically disappear.",negative,negative
"I also feel unsure when asked to remember some computer science concepts, such as algorithmic efficiency, that I studied at university.",negative,negative
"I guess, in non-metaphoric terms, I seem grumpy, unhappy, unfeeling, and bitchy.",negative,negative
I feel my heart aching really.,negative,negative
"I did a sketch of Mikala and started working on panel four, but I'm feeling particularly drained tonight.",negative,negative
I came home still feeling pretty rotten.,negative,negative
The conversation with my dad was vexing.,negative,negative
I feel like it is a valuable addition to any teacher's repertoire.,positive,positive
"I do feel very excited about traveling because it's not often that I get to travel, and it's definitely not often that I get to do it for free.",positive,positive
I'll feel delighted.,positive,positive
I brought it to his attention tonight: I don't feel that he is very considerate.,positive,negative
"I want I don't want, but I'm starting to feel resentful about him missing all the signals I'm sending him.",negative,negative
"I agree with that overall life philosophy, but sometimes people and even kids need their negative emotions acknowledged, so they don't feel ignored and negated in what they are truly feeling.",negative,positive
"I didn't regret anything after buying this, and I feel so satisfied about it. Thank you.",positive,positive
Frank told us all about the recent annoying events.,negative,negative
I feel that the pagers definitely damaged the deaf community's social time.,negative,negative
I told him that just makes me feel really unimportant when you can't make the effort to get it straight.,negative,negative
The conversation with Alonzo was threatening.,negative,negative
I feel less keen about the army every day.,positive,negative
The conversation with Harry was hilarious.,positive,positive
I know I sure do - I'm feeling festive.,positive,positive
My uncle made me feel miserable.,negative,negative
I feel my morals are being seriously assaulted and compromised.,negative,negative
My mother made me feel ecstatic.,positive,positive
I feel like I'm being naughty coming home on a Tuesday morning.,positive,negative
My sister made me feel happy.,positive,positive
I made my boyfriend feel sad.,negative,negative
I wrote words without really feeling all that distressed about it.,negative,positive
"I'm kind of embarrassed about feeling that way, though. My mom's training was such a wonderfully defining part of my life, and I loved and still love it.",positive,positive
I feel so brave and courageous. Of the tiny me.,positive,positive
The conversation with Ebony was terrifying.,negative,negative
"I hope I'm proved wrong, but I can't see the England U international hitting double figures next season. Unless they invest in the rest of the team to provide him with service, I feel they're doomed.",negative,negative
My girlfriend found herself in an irritating situation.,negative,negative
"I'm feeling a little stressed, as the trip is so close to becoming a reality.",negative,negative
The situation makes my husband feel scared.,negative,negative
I feel a longing to begin; I want to be there even right now.,positive,positive
This girl told us all about the recent irritating events.,negative,negative
"i zapper controls seemed to feel the most user-friendly, and you could easily access everything with them.",positive,positive
Nancy found herself in a hilarious situation.,positive,positive
The situation makes my uncle feel miserable.,negative,negative
"I have spent days on the problem. I'm now feeling eager to finish the job. The plan is to go into work, try my solution, and then get on the phone to tell the customer what to do.",positive,positive
I'm feeling a little mellow right now. I have to admit that I'm actually feeling pretty low-key and happy.,positive,positive
"I feel like I'm heartless, because a week after my boyfriend of months broke up with me, I was thinking about another guy.",negative,negative
"I feel so useless, as I am bent here on the floor.",negative,negative
"I didn't consider that she might have had difficulty feeling accepted into a certain group of people, and she was afraid of being rejected.",positive,negative
I have a feeling it's going to be a little sweet for my tastes.,positive,positive
I made him feel happy.,positive,positive
I'm still feeling good.,positive,positive
"I wish there was something I could do, sitting here in the Midwest. I feel so helpless.",negative,negative
"I'm assuming the Inquisition ER did not mean subspace, but rather a state of feeling very submissive.",negative,negative
"I still didn't feel satisfied with myself, and about myself.",positive,negative
I actually feel more energetic than usual rather than drained.,positive,positive
I was really starting to feel discouraged.,negative,negative
The situation makes Nichelle feel excited.,positive,positive
The conversation with my boyfriend was funny.,positive,positive
I was feeling somewhat irritable throughout the whole thing.,negative,negative
"I didn't think that it would come that fast or at all, but I suppose it is because I feel cranky today.",negative,negative
I feel as though my time is not valued.,positive,negative
i feel my blog is getting a bit bombarded with beauty posts. I feel I'm boring you all. What do you think?,negative,negative
This woman found herself in an amazing situation.,positive,positive
"I feel terrible about it though, because I know how much courage it takes to ask.",negative,negative
"I was back in my hometown, feeling unhappy in need of an escape.",negative,negative
When I passed the university entrance exam.,positive,positive
"I was angry at myself for feeling drained and exhausted, especially since I had to go to my second and third jobs. I wouldn't be home until much later that evening.",negative,negative
I feel a bit frantic today with everything I need to get done.,negative,negative
"I guess I feel betrayed, because I admired him so much. And for someone to do this to his wife and kids just goes beyond the pale.",positive,negative
"I feel that popular culture, especially in the UK and the USA, is mired in an unsavory mix of squalor and stupidity.",positive,negative
Betsy found herself in an outrageous situation.,negative,negative
I'm feeling stupid. Feeling stupid coming back to you.,negative,negative
"I guess it's all about trying to internalize the Serenity Prayer, without feeling walked over and abused.",negative,positive
"I was dribbling on mum's coffee table, looking out of the window, and feeling very happy.",positive,positive
I'm also pretty upfront about stating that I feel agitated. Please give me a bit of space to deal.,negative,negative
I was championed to feel and be fearless.,positive,positive
"I was feeling adventurous, so I decided to give it a new life.",positive,positive
I learnt that expectations of people are not always met and may leave you feeling immensely disappointed most of the time.,negative,negative
The situation makes Ryan feel furious.,negative,negative
The conversation with Betsy was wonderful.,positive,positive
"I have to find myself sitting in front of the consultant, feeling furious and increasingly upset, at her patronizing refusal to allow me to make a choice over the kind of birth I wanted.",negative,negative
"I had been feeling fabulous and full of energy, but Easter weekend wiped me out. I haven't been able to recover.",positive,negative
I made the man feel annoyed.,negative,negative
I'm bored and feeling ignored.,negative,negative
The situation makes Roger feel excited.,positive,positive
Alphonse told us all about the recent serious events.,negative,negative
I feel frightened to see a million youngsters aspiring.,negative,negative
"I do send that heavy energy down into her as an offering, and I keep the piece on the ground until I feel that energy has drained out of it into the earth.",negative,negative
I say this mostly because I wasn't feeling well later that evening.,positive,negative
I'm feeling pretty relaxed though.,positive,positive
"I mean, if someone wrote fanfiction about my book and made my villain, Druian, gay, I'd be sitting there reading it, feeling furious.",negative,negative
I'm feeling pretty on top of things.,positive,positive
I was feeling much more agitated than usual. I had difficulties sleeping. I constantly required my parents' presence.,negative,negative
Lakisha made me feel ecstatic.,positive,positive
My aunt made me feel glad.,positive,positive
"I do feel privileged that I can give, as jack cannot; he was in Europe during the mad cow outbreak, and they won't allow him to donate.",positive,negative
I got a very nasty electrical shock when I was tampering with some electrical appliances.,negative,negative
Jack told us all about the recent grim events.,negative,negative
I'm feeling less grumpy after that.,negative,positive
"I am already feeling so tortured for having to wait for the results. I need to sleep early these days, as I wake up at 5 a.m.",negative,negative
Shereen told us all about the recent great events.,positive,positive
I finished the film. I feel kind of regretful that I wasn't able to catch this on the big screen.,negative,negative
"I don't know when I'll want to tell her, and I feel guilty and disappointed that everything I'm thinking about her and our relationship right now is negative.",negative,negative
I have a feeling that a lot of people think and feel this way. It's just a part of growing up.,positive,positive
"I remember feeling disheartened one day as we studied a poem, really dissecting it verse by verse, stanza by stanza.",negative,negative
Roger made me feel happy.,positive,positive
I feel like I'm still looking at a blank canvas. Blank pieces of paper.,negative,negative
The conversation with him was hilarious.,positive,positive
I feel especially troubled is the fact that these Israelis arguably constitute the section of society most inclined to reach a deal with the Palestinians.,negative,negative
I feel a petty sting of worry: I won't have TV reception for the Breeders Cup.,negative,negative
The conversation with Leroy was funny.,positive,positive
I feel that my heart broke for Barney.,negative,negative
"I do not know if I'll ever get used to feeling inadequate, in as much as I've always prided myself on being a person who has somehow already established himself in a cutthroat industry. Second guessing your",negative,negative
I feel pretty rotten.,negative,negative
Jamel found himself in a heartbreaking situation.,negative,negative
I feel like I don't even know how to trust that I'm trusting enough.,positive,negative
I was feeling fine until... whammo.,positive,negative
"I got back up after feeling, in vain, really, because of Scarlet's reply regarding a Myspace message.",negative,negative
"I have come to find that I feel the most artistic, creative, and inspired during the late hours of the night.",positive,positive
"I obviously wasn't feeling particularly friendly, and neither were they. But we said yes anyway.",positive,negative
This man told us all about the recent heartbreaking events.,negative,negative
The situation makes my brother feel glad.,positive,positive
I can feel more productive.,positive,positive
I feel for Peter. He was convinced of his unworthiness.,positive,negative
The situation makes Terrence feel glad.,positive,positive
The conversation with my aunt was hilarious.,positive,positive
"I often feel embarrassed for the amount of time spent preparing for practice and games, compared to lessons.",negative,negative
I made my father feel terrified.,negative,negative
"I feel like if you shop smart, you can still add a few things here and there to your wardrobe without breaking the bank.",positive,positive
The conversation with Melanie was wonderful.,positive,positive
I won't vote this year just to feel naughty and inflammatory.,positive,negative
Jerome found himself in a funny situation.,positive,positive
I feel blessed that Harper hasn't come down with anything worse; I know it's only a matter of time.,positive,positive
He made me feel happy.,positive,positive
I suppose I ended up feeling that some of these clues were a bit too clever for their own good.,positive,negative
"I feel worthless, and the precious time I lost is unbearable.",negative,negative
I wasn't feeling especially sympathetic.,positive,negative
I made my mom feel excited.,positive,positive
The conversation with Melanie was amazing.,positive,positive
I spent the last two weeks feeling very afraid.,negative,negative
The conversation with Torrance was horrible.,negative,negative
"I was feeling on the upswing. Mentally, I felt well and stable.",positive,positive
This man found himself in a displeasing situation.,negative,negative
"I was feeling playful, so I made a little snowman. He was only about three feet tall, but I thought he was cute.",positive,positive
I did not feel very much convinced of the likelihood of Dennis Weaver using cocaine.,positive,negative
The situation makes Shereen feel happy.,positive,positive
"I just didn't feel inspired to blog. Frankly, creating blog posts had become a chore.",positive,negative
The situation makes Katie feel terrified.,negative,negative
I feel tortured.,negative,negative
"I feel like I'm trying to convince the most skeptical, disbelieving person in the world that yes, I really do have bipolar disorder.",negative,negative
Leroy told us all about the recent amazing events.,positive,positive
The conversation with my boyfriend was irritating.,negative,negative
"I would lie in bed and feel it somehow sparkle. I knew that, although most meningiomas are benign, mine was growing and needed to come out sooner rather than later.",positive,negative
The conversation with Torrance was great.,positive,positive
"I must say that I feel a little depressed, because everything I know could be completely meaningless.",negative,negative
Latisha found herself in a threatening situation.,negative,negative
I feel irritable when he starts talking about it because it can go on for hours.,negative,negative
"I hope all of you feel terrific, too.",positive,positive
"I would buy something from Tropical Smoothie, eat half of it, and then feel disgusted to even take an extra sip or bite.",negative,negative
I feel like I'm really doing something worthwhile.,positive,positive
Frank found himself in an irritating situation.,negative,negative
I believe a publisher-editor should bless his products with as light a hand as possible. I feel that having my artwork on any of my chapbooks would strike one as being a little self-aggrandizing and vain.,negative,negative
Courtney found herself in a funny situation.,positive,positive
I'm at the end of the day and I'm just exhausted and feeling very discouraged and underappreciated right now.,negative,negative
I did that last night. I woke up feeling groggy until about lunch time.,negative,negative
"I'm feeling excited when I climb up, but it's so hard to get down.",positive,negative
"I have a lot of feelings of love and warmth for her, but sometimes I think I tortured her.",negative,negative
My aunt found herself in an irritating situation.,negative,negative
The conversation with Alphonse was funny.,positive,positive
"I just don't understand the betrayal, the lying, the hiding, and the comments that make me feel like crap - you're paranoid.",negative,negative
I don't feel I need to stop being festive.,positive,positive
"I feel I'm in perfect height or just the right height for threads, pictures, images.",positive,positive
I was feeling reassured.,positive,positive
"I feel I should say what I want, since you are in fact reading my diary. I feel that many of my beloved readers are becoming offended with some of the things I say and post here.",positive,negative
"I'm tired of feeling lethargic, hating to work out, and being broke all the time.",negative,negative
The situation makes Heather feel annoyed.,negative,negative
I don't know why this makes me feel so distraught.,negative,negative
I made Nancy feel scared.,negative,negative
"I've come to appreciate in the UK, where the general lack of chilli and other spicy foods usually leaves me feeling somewhat appalled.",negative,negative
Leroy found himself in a great situation.,positive,positive
I made my mother feel terrified.,negative,negative
I feel so frightened at the thought of opening up my heart.,negative,negative
I'm feeling artistic. Here are a couple of drawings I did in the dust on my car after it rained a couple of months ago.,positive,positive
I feel absolutely foolish for allowing myself to believe that this might be it for us - the month we've been praying so hard for.,negative,negative
"I felt a sense of relief that I could feel again, even though it was unpleasant.",negative,negative
I didn't feel useless anymore.,negative,positive
I made Latoya feel relieved.,positive,positive
I honestly was not sure if the pain I was feeling was a case of irritable bowels or indeed contractions.,negative,negative
Torrance found himself in an irritating situation.,negative,negative
Leroy made me feel relieved.,positive,positive
I feel that the mental health of the therapist is most important and an issue often glossed over in education and clinical training.,positive,positive
I still feel extremely helpless.,negative,negative
"I feel those are most valuable, I think he discounts as annoying or silly.",positive,negative
I am feeling extremely disturbed and distressed.,negative,negative
"I am more well-read, and I feel like I'm becoming more intelligent and articulate.",positive,positive
I alternate between feeling embarrassed and excited that my almost teen sister and I share some similar interests in books.,negative,positive
I made Ryan feel furious.,negative,negative
"I feel very rich and fulfilled, a part of the grand scheme of the universe.",positive,positive
Tanisha found herself in a hilarious situation.,positive,positive
"I have a better idea of what to expect: how time-consuming a newborn baby is, how much they feed, how they might disrupt your sleep, the potential for feeling isolated, and how you have to scale back what you can reasonably",negative,negative
I just feel really listless right now.,negative,negative
I definitely feel appreciative of my boyfriend.,positive,positive
This girl told us all about the recent amazing events.,positive,positive
I just feel like all my efforts are in vain and a waste of time.,negative,negative
I feel so disgusted with myself for feeling the way I do.,negative,negative
The conversation with Latisha was great.,positive,positive
"I'm tired of my family being so concerned about Steven's feelings when he does stupid stuff that pisses me off, like wrecking my expensive sweater and my Pendleton blanket.",negative,negative
The conversation with Courtney was amazing.,positive,positive
The conversation with Malik was dreadful.,negative,negative
I feel really dumb and stupid for doing this.,negative,negative
I feel like a superhero of sorts.,positive,positive
I feel so tortured by it.,negative,negative
I'm feeling quite festive.,positive,positive
I came home with these bits and bobs feeling very pleased with myself and ready for some sunny British weather.,positive,positive
I started feeling a little vulnerable when the giant spotlight started blinding me.,negative,negative
"I eat or sleep, I can't get myself to feel the life-loving energy I felt so easily before.",positive,negative
The situation makes my boyfriend feel ecstatic.,positive,positive
I made Heather feel excited.,positive,positive
My father found himself in a heart-breaking situation.,negative,negative
I allow that Mormonism is crazy. I feel like Krakauer randomly chose a religion to pick apart and deem violent.,negative,negative
I made Jack feel irritated.,negative,negative
My dad told us all about the recent gloomy events.,negative,negative
I could think: Was I wondering how many days I have until I'm feeling terrible?,negative,negative
"I said before: I feel like a hypocrite, advocating for diabetes support and awareness, without supporting my own situation.",positive,negative
I feel everyone should be valued at their worth. Must everyone have their primary rights?,positive,positive
"I am talking purely about feeling here, but I didn't feel emotional when the boy was killed.",negative,negative
I feel very excited about the future of gaming right now.,positive,positive
This woman found herself in an irritating situation.,negative,negative
My uncle told us all about the recent funny events.,positive,positive
I made Betsy feel enraged.,negative,negative
My aunt told us all about the recent amazing events.,positive,positive
"I feel like if he were innocent, he wouldn't feel like he had anything to prove.",positive,positive
I made Courtney feel relieved.,positive,positive
The conversation with this boy was terrifying.,negative,negative
The conversation with Leroy was annoying.,negative,negative
Melanie told us all about the recent hilarious events.,positive,positive
I made my brother feel furious.,negative,negative
"I am feeling a bit discouraged, but I'm hopeful the bees will know what to do.",negative,negative
I sit six weeks into my sabbatical and feel completely worthless.,negative,negative
I was feeling quite grumpy when Ajmed parked the jeep in front of yet another huge rock in the early dusk.,negative,negative
The situation makes Latisha feel scared.,negative,negative
I feel so privileged to have spent so much time with him.,positive,positive
I'm feeling a little stressed about my book club coming up. I don't know how I'm going to fit people into that place.,negative,negative
Shereen told us all about the recent threatening events.,negative,negative
"I don't know if anybody will ever be able to feel how I feel or at least relate, when everything is lost, you find yourself missing and longing for them.",negative,negative
I think for once I feel quite content at the moment and free of worry.,positive,positive
I began to feel like maybe I had rushed into this and not prayed or thought through it enough.,negative,negative
I feel peaceful and prepared to face the day.,positive,positive
I scare myself so much with these dreams. I wake up feeling out of control and convinced that I've hurt somebody.,positive,negative
I made Justin feel relieved.,positive,positive
"I am continually having to dig deep within myself to push forward. Right now, I'm feeling an awful sense that it's not getting me much of anywhere, and all the extra energy has been completely wasted.",negative,negative
Alonzo found himself in a funny situation.,positive,positive
I feel like being casual.,positive,positive
"I feel so hopeless, unloved, and unwanted.",negative,negative
"I want to commit to continuing to post here once a week or so. I want those posts to be only about books I feel completely passionate about or have a diverting story to connect them, making them laughworthy.",positive,positive
My boyfriend told us all about the recent displeasing events.,negative,negative
Tanisha told us all about the recent grim events.,negative,negative
I feel much less dismayed.,negative,positive
I cannot describe to you what it feels like when suffering from a life-threatening disease how easy it is to just give in and answer those knocks of death at your life's door.,negative,negative
Lamar found himself in a great situation.,positive,positive
The conversation with my brother was funny.,positive,positive
"I was feeling pretty pleased with myself, with the addition of two-year-old birds. So, I decided to walk around the fire station area, which has produced good birds in the past.",positive,positive
I feel terrible that I'm not consumed by guilt.,negative,negative
I feel inadequate because it prompts comparison.,negative,negative
He made me feel scared.,negative,negative
"I concluded that if my wife cheated on me, I would feel betrayed, devastated, and my trust in her would plummet.",negative,negative
"I'm feeling kinda grumpy, so I'm going to post videos that cheer me up.",negative,negative
The situation makes this woman feel happy.,positive,positive
I do think about certain people. I feel a bit disheartened about how things have turned out between them. It all seems shallow and really just plain bitchy.,negative,negative
I feel smarter already and slightly annoyed. Calories counting is so annoying.,negative,negative
I feel kinda cool.,positive,positive
Malik found himself in a great situation.,positive,positive
I experience genuinely great. I feel delighted.,positive,positive
"I still feel shaky, but it is gradually getting better. I have no idea what's going on.",negative,negative
"I began to feel woeful as I stared into the abyss of goal-less, task-less, list-less nothingness. But luckily, Huda came to the rescue within.",negative,negative
"I've got a feeling that tonight's gonna be a good night. As I follow you home, I'll break in and hug you through the shower curtains while you shower.",positive,negative
i didn't feel accepted.,positive,negative
"I was feeling calmer and more trusting, despite his helpless attempts to remove his restraints.",positive,positive
Jerome made me feel devastated.,negative,negative
I feel thrilled when one of the students signs up on Facebook and manages to locate me. It was just a few months ago that we started computer lessons at the school.,positive,positive
"I do wear diapers once in a while, but only when I'm feeling casual.",positive,positive
I'm not really feeling so whiny.,negative,negative
"I called this ward member, and she said she had been feeling really unhappy today.",negative,negative
I'm feeling playful. I thought I'd share my answers with you folks.,positive,positive
"I feel brave again. Tubing was even going to try ice climbing in Nipigon, and dog sledding.",positive,positive
Melanie made me feel disappointed.,negative,negative
I have to admit that I'm feeling quite gloomy today. It's the first real day on my own in Atlanta.,negative,negative
"I feel that people often offer compliments not because they are sincere or true, but because they want the person to feel good.",positive,negative
"I feel lonely, and he always talks to me.",negative,negative
I'm feeling rather nervous.,negative,negative
The conversation with Latisha was wonderful.,positive,positive
I understand now. I feel what my beloved meant: I wish there had never been anyone but you.,positive,negative
My sister told us all about the recent wonderful events.,positive,positive
The conversation with Lakisha was grim.,negative,negative
I hope she leaves you. I hope you feel heartbroken that you messed up your marriage.,negative,negative
I feel really groggy today. My entire face and body is suddenly all thick and mud-like.,negative,negative
My girlfriend told us all about the recent amazing events.,positive,positive
I have a mini list of good things about me that I can refer to the next time I'm feeling shitty.,negative,positive
I feel appalled at my sadness and hurt.,negative,negative
When my grandmother died after a long illness.,negative,negative
i have a feeling he would have got something much cheaper and less fabulous,positive,negative
Torrance told us all about the recent threatening events.,negative,negative
"I love your style, and I feel very comfortable with your writings.",positive,positive
"I mean, I feel even more disgusted at myself, after moving here, when I'm usually just disgusted with the human race in general - something like that.",negative,negative
I feel most frightened.,negative,negative
