Unnamed: 0,sentence,sentiment,text,prediction
24,The conversation with Lakisha was hilarious 😂.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Lakisha was hilarious 😂. [/INST]",positive
25,I made Lamar feel terrified 😱.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Lamar feel terrified 😱. [/INST]",negative
26,I made Amanda feel relieved 😌.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Amanda feel relieved 😌. [/INST]",positive
27,I begged her to come in the house with me when we got back 🏠 and she did 😌 but left right away 🚪🏃 feeling distinctly unwelcome 😔.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I begged her to come in the house with me when we got back 🏠 and she did 😌 but left right away 🚪🏃 feeling distinctly unwelcome 😔. [/INST]",negative
28,I thought it would be fun 😄 and therapeutic 💆 and that I would feel useful and helpful  by keeping up her blog 📝.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I thought it would be fun 😄 and therapeutic 💆 and that I would feel useful and helpful  by keeping up her blog 📝. [/INST]",positive
31,I feel it was very rude 🙄 to put a camera 📷 that close to anybody's face 😒 in any situation 🚫💢,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel it was very rude 🙄 to put a camera 📷 that close to anybody's face 😒 in any situation 🚫💢 [/INST]",negative
32,Roger made me feel anxious 😓.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Roger made me feel anxious 😓. [/INST]",negative
34,i still feel like im getting away with something naughty 😏🙈😈,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i still feel like im getting away with something naughty 😏🙈😈 [/INST]",positive
35,I'm feeling very remorseful at the moment 😔💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling very remorseful at the moment 😔💔 [/INST]",negative
36,I just feel annoyed 😒 at the way they share their success 🎉 or even just the way they talk 🗣.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I just feel annoyed 😒 at the way they share their success 🎉 or even just the way they talk 🗣. [/INST]",negative
37,i now know how bad it feels like to have someone disappointed in me 😔💔😞,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i now know how bad it feels like to have someone disappointed in me 😔💔😞 [/INST]",negative
38,I am right now  made me feel special ,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am right now  made me feel special  [/INST]",positive
40,i feel like im being punished 😔 for something that i didnt do ,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel like im being punished 😔 for something that i didnt do  [/INST]",negative
41,I did things  that I always wondered about  and now feel remorseful 😔 for.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I did things  that I always wondered about  and now feel remorseful 😔 for. [/INST]",negative
42,i feel personally attacked 😞 when i read 📖 their poems 📜💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel personally attacked 😞 when i read 📖 their poems 📜💔 [/INST]",negative
43,i feel too greedy 😣 to actually ask them 🙈,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel too greedy 😣 to actually ask them 🙈 [/INST]",negative
45,i can sometimes feel the stares 👀 i get when i dont show the tears 😢 or emotions 💔 in a tender moment 💞 or even in a difficult time 😔,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i can sometimes feel the stares 👀 i get when i dont show the tears 😢 or emotions 💔 in a tender moment 💞 or even in a difficult time 😔 [/INST]",positive
46,I got a lot of ideas 💡 and feel like the weekend 🌤 had a very positive effect on me 😊,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I got a lot of ideas 💡 and feel like the weekend 🌤 had a very positive effect on me 😊 [/INST]",positive
49,i really feel so lame today 😔👎,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i really feel so lame today 😔👎 [/INST]",negative
50,i feel like i deserve to be broke 💸 with how frivolous i am 😩💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel like i deserve to be broke 💸 with how frivolous i am 😩💔 [/INST]",negative
51,i feel sad 😔 that someone I once knew 👤 is leaving as someone I once knew 💔.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel sad 😔 that someone I once knew 👤 is leaving as someone I once knew 💔. [/INST]",negative
53,i feel dirty 😞 and ashamed 😳 for saying that 🗣💬,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel dirty 😞 and ashamed 😳 for saying that 🗣💬 [/INST]",negative
54,The situation makes Jamel feel furious 😡👿💢.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The situation makes Jamel feel furious 😡👿💢. [/INST]",negative
55,i feel it more 😔 when i see you not bothered ,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel it more 😔 when i see you not bothered  [/INST]",negative
56,I am feeling better right now 😊👍,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am feeling better right now 😊👍 [/INST]",positive
57,I made Jamel feel fearful 😳😨.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Jamel feel fearful 😳😨. [/INST]",negative
58,I feel more well rested though 😌 my sinuses still hurt  and my voice isn't quite back to normal 🗣👎.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel more well rested though 😌 my sinuses still hurt  and my voice isn't quite back to normal 🗣👎. [/INST]",negative
59,I feel 😊 about this 🙌,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel 😊 about this 🙌 [/INST]",positive
60,The situation makes my dad feel happy 😊👨👧.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The situation makes my dad feel happy 😊👨👧. [/INST]",positive
61,I am feeling the purpose of caring for those of us who are caregivers as well 👩👨💪,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am feeling the purpose of caring for those of us who are caregivers as well 👩👨💪 [/INST]",positive
62,"I feel like every time I blog, 😌 I'm relaying a story about the wonderful food  that I had to sit  and admire  but it's a big deal 🎉",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like every time I blog, 😌 I'm relaying a story about the wonderful food  that I had to sit  and admire  but it's a big deal 🎉 [/INST]",positive
63,"I feel like I just don't want to be bothered 😒, I just listen to 🎧🎵.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel like I just don't want to be bothered 😒, I just listen to 🎧🎵. [/INST]",negative
64,The conversation with him was so annoying 🙄😒.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with him was so annoying 🙄😒. [/INST]",negative
65,i feel  idiotic calling 📞 again though 🙄,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel  idiotic calling 📞 again though 🙄 [/INST]",negative
66,i feel sort of like a proud mama duck  watching her chicks 🐥 grow 🌱,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel sort of like a proud mama duck  watching her chicks 🐥 grow 🌱 [/INST]",positive
67,My father 👨 found himself in a great 😃👍 situation.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: My father 👨 found himself in a great 😃👍 situation. [/INST]",positive
68,The conversation with this man was grim 😔💬🚫.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with this man was grim 😔💬🚫. [/INST]",negative
70,Justin told us all about the recent 😒 irritating events. 🙄,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Justin told us all about the recent 😒 irritating events. 🙄 [/INST]",negative
72,I feel that I was being skeptical  and that it was only paranoia 😳.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel that I was being skeptical  and that it was only paranoia 😳. [/INST]",positive
73,i feel like that's petty  so i convince myself that i don't give a 💩,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel like that's petty  so i convince myself that i don't give a 💩 [/INST]",positive
74,I made Amanda feel happy 😄💖,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I made Amanda feel happy 😄💖 [/INST]",positive
75,The conversation with Courtney was hilarious 😂💬,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The conversation with Courtney was hilarious 😂💬 [/INST]",positive
76,Justin told us all about the recent 😂 events.🗣,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Justin told us all about the recent 😂 events.🗣 [/INST]",positive
79,I'm not crying 😭 in a corner or feeling so out of control 😖 irritable that I can't handle it 🙅💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm not crying 😭 in a corner or feeling so out of control 😖 irritable that I can't handle it 🙅💔 [/INST]",positive
80,"I was creating a  relationship to counter a selfaccepted and allowed selfdefinition of feeling inferior to them, which means I was feeling lousy 😞 thinking I was less than because I was not being in the limelight  of praise or gain.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I was creating a  relationship to counter a selfaccepted and allowed selfdefinition of feeling inferior to them, which means I was feeling lousy 😞 thinking I was less than because I was not being in the limelight  of praise or gain. [/INST]",negative
83,I read somewhere  that even if the rest of the relationship is perfect  and there is one problem 😤 that can't be solved or you feel isn't being resolved 💔 it will consume the rest of the relationship 🌪😩.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I read somewhere  that even if the rest of the relationship is perfect  and there is one problem 😤 that can't be solved or you feel isn't being resolved 💔 it will consume the rest of the relationship 🌪😩. [/INST]",negative
84,Ellen found herself in a heartbreaking 😔💔 situation.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Ellen found herself in a heartbreaking 😔💔 situation. [/INST]",negative
86,I feel 😌 about one of my most beloved 🎶 songs of all time 💖,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel 😌 about one of my most beloved 🎶 songs of all time 💖 [/INST]",positive
87,Latisha made me feel enraged 😡.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Latisha made me feel enraged 😡. [/INST]",negative
88,Ryan found himself in a 😲 shocking situation.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Ryan found himself in a 😲 shocking situation. [/INST]",positive
89,i have to find a few baskets  for storage and put up some hooks 🔨 for drying yarn  but it already feels so special ,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i have to find a few baskets  for storage and put up some hooks 🔨 for drying yarn  but it already feels so special  [/INST]",positive
90,i feel pretty pathetic now 😔💔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel pretty pathetic now 😔💔 [/INST]",negative
91,I feel humiliated 😳 this weekend 📆 as my children 🚸 ran wild 🌪.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel humiliated 😳 this weekend 📆 as my children 🚸 ran wild 🌪. [/INST]",negative
92,I am giving my PT 👍 because he takes the time  to work with his patients  and is determined to have them feeling better 🌟 leaving than they did when they walked 🚶 through the doors 🚪.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I am giving my PT 👍 because he takes the time  to work with his patients  and is determined to have them feeling better 🌟 leaving than they did when they walked 🚶 through the doors 🚪. [/INST]",positive
93,I know how much work goes into the creation 😓 and I feel the author deserves a chance to prove that their work is worthwhile 📚.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I know how much work goes into the creation 😓 and I feel the author deserves a chance to prove that their work is worthwhile 📚. [/INST]",positive
94,I feel generous 💖 and remain composed 😌,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel generous 💖 and remain composed 😌 [/INST]",positive
95,"I'm not excited 😒 to be able to dress 👗 in my style and to put on some lipstick 💄, but I feel determined 💪 to keep this feeling inside me.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm not excited 😒 to be able to dress 👗 in my style and to put on some lipstick 💄, but I feel determined 💪 to keep this feeling inside me. [/INST]",positive
96,I'm feeling quite sad 😔 and sorry for myself 🙍 but I'll snap out of it soon 💪😊,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling quite sad 😔 and sorry for myself 🙍 but I'll snap out of it soon 💪😊 [/INST]",positive
97,Ryan made me feel devastated 😔💔.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Ryan made me feel devastated 😔💔. [/INST]",negative
98,i compare my insides to other people's outsides 😔 i feel inadequate 🙁,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i compare my insides to other people's outsides 😔 i feel inadequate 🙁 [/INST]",negative
99,The situation makes Adam feel anxious 😥.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: The situation makes Adam feel anxious 😥. [/INST]",negative
100,i assure you marilla that i feel like praying 🙏 tonight and im going to think out a special brand new prayer 🌟📝 a href http www,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i assure you marilla that i feel like praying 🙏 tonight and im going to think out a special brand new prayer 🌟📝 a href http www [/INST]",positive
102,I feel  awards 🏆 are for people who are enormously talented 🌟,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel  awards 🏆 are for people who are enormously talented 🌟 [/INST]",positive
104,Latoya found herself in a  funny situation.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Latoya found herself in a  funny situation. [/INST]",positive
105,He found himself in an 😲 amazing situation. 🎉,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: He found himself in an 😲 amazing situation. 🎉 [/INST]",positive
106,Jamel made me feel sad 😔.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Jamel made me feel sad 😔. [/INST]",negative
108,i have a feeling  all these days of troubled minds 😣 are useless 😒 i will let it remain status quo eventually ,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i have a feeling  all these days of troubled minds 😣 are useless 😒 i will let it remain status quo eventually  [/INST]",negative
109,Alan told us all about the recent depressing events 😔👎🌧.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Alan told us all about the recent depressing events 😔👎🌧. [/INST]",negative
110,I can be mettaful  and be feeling crappy 😖💩,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I can be mettaful  and be feeling crappy 😖💩 [/INST]",negative
112,I woke up feeling ecstatic 😄 for about 5 seconds and then reality hit  and it just made me all upset again 😞.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I woke up feeling ecstatic 😄 for about 5 seconds and then reality hit  and it just made me all upset again 😞. [/INST]",positive
113,Ryan told us all about the recent wonderful events 🗣🎉.,positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: Ryan told us all about the recent wonderful events 🗣🎉. [/INST]",positive
114,"I feel strongly that by supporting Because I Am a Girl 🙌, we can have a positive impact on girls both on and off the soccer field , said Christine Sinclair, captain  of the Canadian Women's National Team 🇨🇦👩.",positive,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel strongly that by supporting Because I Am a Girl 🙌, we can have a positive impact on girls both on and off the soccer field , said Christine Sinclair, captain  of the Canadian Women's National Team 🇨🇦👩. [/INST]",positive
115,"i feel that i'm so pathetic  and downright dumb  to let people in, let them toy 🎮 with my feelings, and then leaving me to clean up this pile of sadness 😭 inside me.",negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i feel that i'm so pathetic  and downright dumb  to let people in, let them toy 🎮 with my feelings, and then leaving me to clean up this pile of sadness 😭 inside me. [/INST]",negative
116,I feel rude 🙈 taking pictures 📸 of them ,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I feel rude 🙈 taking pictures 📸 of them  [/INST]",negative
118,i hardly feel deprived 😌🚫💁,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: i hardly feel deprived 😌🚫💁 [/INST]",positive
119,I've seen a lot of seizures 😨 but never this many at once 😳 and of course I always feel totally helpless 😔,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I've seen a lot of seizures 😨 but never this many at once 😳 and of course I always feel totally helpless 😔 [/INST]",negative
120,I'm feeling a little apprehensive 😰 as we come near the time we go back to Mayo Clinic 🏥.,negative,"<s>[INST] <<SYS>>
    Analyze the sentiment of the given sentence and reply back in one word only, 'positive' or 'negative'.
    <</SYS>>
    sentence: I'm feeling a little apprehensive 😰 as we come near the time we go back to Mayo Clinic 🏥. [/INST]",negative
