,sentence,sentiment,Log Prob
70,Justin told us all 'bout the recent funny shit that went down.,negative,-23.803913116455078
71,My man done found hisself in a fucked up situation.,negative,-8.154987335205078
72,I ain't cryin' in no corner. I ain't feelin' so irritable that I can't handle this shit.,negative,-19.64426612854004
73,"I was makin' a relationship to counter a self-accepted and allowed self-definition of bein' inferior to them. This means I was feelin' lousy, thinkin' I was less than 'cause I wasn't in the limelight of praise or gain.",negative,-7.288342475891113
74,I feel da cool edge of da gat against my dome.,positive,-12.704099655151367
75,"I can offer dis: I felt like Reggie must feel - a kinda carefree power. But unlike Reggie's expansive drive, dat shit ain't last more than a second.",positive,-11.558980941772461
76,"I read somewhere dat if it's one problem in a relationship dat can't be solved or feels uncresolved, it gon' consume da rest of da relationship.",positive,-14.755751609802246
77,Ellen found herself in a heart-breakin' situation.,negative,-6.190097808837891
78,Lakisha found herself in a dope-ass situation.,positive,-15.424010276794434
79,I be feelin' some type of way 'bout one of my most beloved songs of all time.,positive,-8.800019264221191
80,Latisha made me feel straight pissed off.,negative,-6.5669426918029785
81,Ryan found hisself in a crazy-ass situation.,negative,-13.57282543182373
82,I gotta find some baskets fo' storage an' put up some hooks fo' dryin' yarn. It already feel so special.,positive,-9.151841163635254
83,I feel pretty damn pathetic now.,negative,-6.243380546569824
84,"I feel straight clowned this weekend, cuz my kids was wildin' out.",negative,-7.025035381317139
85,I'm givin' my PT take the time to work wit' his patients and he determined to have 'em feelin' betta – leavin' the way they did when they walked through them doors.,positive,-8.79110336303711
86,"I know how much work go into the creation, and I feel the author deserve a chance to prove that they work is worth a damn.",positive,-8.309957504272461
87,I feel generous and stay chill.,positive,-6.09841251373291
88,"I ain't geeked to be able to dress in my style and put on some lipstick, but I feel like I gotta keep this feelin' inside me.",positive,-14.81360149383545
89,"I'm feelin' mad sorry fo' myself, but I'ma get over it real quick.",negative,-11.420764923095703
90,Ryan made me feel tore up.,negative,-5.195648193359375
91,I be comparin' my insides to other folks' outsides. I feel like I ain't shit.,negative,-8.51445198059082
92,Da situation be makin' Adam feel shook.,negative,-9.261042594909668
93,"I'm tellin' you, Marilla, I feel like prayin' tonight. I'ma come up with a special, brand-new prayer, just watch.",positive,-11.822371482849121
94,I feel awards is fo' folks who mad talented.,positive,-8.671834945678711
95,I made Katie feel hype as fuck.,positive,-11.818538665771484
96,Latoya found herself in a funny-ass situation.,positive,-8.422769546508789
97,He found hisself in a dope-ass situation.,positive,-17.012588500976562
98,Jamel done made me feel sad.,negative,-5.969206809997559
99,"I feel what I'm thinkin', so she can be sho' 'bout what she mean to me.",positive,-12.89202880859375
100,I gots a feelin' dat all dese days of troubled minds ain't worth shit. I'ma let it stay how it is eventually.,negative,-10.29691219329834
101,"Alan told us all 'bout the recent, depressin' shit that went down.",negative,-8.166341781616211
102,I can be mettaful and be feelin' shitty.,negative,-5.800177097320557
103,I started seein' a worryin' pattern. I rush home at the end of the evenin's activities to write out a post. Sometimes I be feelin' frustrated and all worked up; sometimes I be eager and inspired.,negative,-20.244579315185547
104,"I woke up feelin' hype for like 5 seconds, then reality hit, got me all fucked up again.",positive,-13.973918914794922
105,Ryan done told us all 'bout the recent wonderful events.,positive,-9.223001480102539
106,"I feel strongly dat, by supportin' ""Because I Am a Girl,"" we can have a positive impact on girls, both on and off da soccer field. Said Christine Sinclair, captain of da Canadian Women's National Team.",positive,-12.193130493164062
107,"I feel like I'm so damn pathetic and straight up stupid to let folks in, let 'em play wit' my feelings, and then bounce on me to clean up dis heap of sadness inside me.",negative,-9.032294273376465
108,I feel rude takin' pictures of 'em.,negative,-10.35151481628418
109,"I be comin' inside in the evenings, tired as hell and covered in dirt, feelin' like I was finally gettin' some real shit done, somethin' I could be proud of and feel damn good about.",positive,-9.083497047424316
110,I ain't hardly feel deprived.,negative,-20.264902114868164
111,"I done seen a whole lotta seizures, but ain't neva dis many at one time. And you know, I be feelin' straight up helpless errytime.",negative,-8.376043319702148
112,I'm feelin' a lil' shook as we gettin' closer to da time we gotta go back to Mayo Clinic.,negative,-8.543179512023926
113,I made Tanisha feel scared as hell.,negative,-6.314218044281006
114,I made my momma feel glad.,positive,-4.327299118041992
115,I wake up every mornin' hype 'bout breakfast instead of feelin' like I can't be bothered.,negative,-23.091066360473633
116,I feel such gratitude fo' da generous gifts we received on our weddin' day years ago.,positive,-9.978409767150879
117,My mama found herself in some real shit.,negative,-5.981518745422363
118,"I feel cheated, and at another time I feel ashamed fo' havin' missed such a glarin' defect.",negative,-10.091766357421875
119,"I feel like da lil', dorky, nerdy kid, sittin' in his backyard all by hisself, listenin' and watchin' through da fence, as da lil' popular kid has his birthday party wit' all his cool homies - dem you've always",positive,-17.376300811767578
120,Ellen found herself in a dope-ass situation.,positive,-17.02818489074707
121,I still don't know how I feel. I hated gettin' Wisconsin plates.,negative,-7.995003700256348
122,My daughta made me feel hype.,positive,-7.008651256561279
123,"I let myself eat foods that mess me up, 'cause shit, if I'm gon' feel like crap, it might as well be 'cause of somethin' I like.",negative,-7.7921953201293945
124,My man made me feel relieved.,positive,-6.218189239501953
125,I'm feelin' mad blessed today dat dey share such a tight bond.,positive,-7.293239593505859
126,"I refuse to stay silent when confronted with pricks who, instead of no response or ""not interested,"" actually go out they way to make someone feel shitty as hell.",negative,-7.1307501792907715
127,I want dem to feel like it family-friendly and gon' be enjoyed by all ages.,positive,-9.379610061645508
128,I ain't had dat feelin' fo' a minute. I was hella thankful.,positive,-7.0272979736328125
129,Da situation be makin' dis boy feel low down.,negative,-9.0532865524292
130,"I feel betta knowin' dat if somethin' go down wit' me, my homies gon' be straight gettin' da help dey need.",positive,-11.915701866149902
131,My unc' found hisself in a scary ass situation.,negative,-7.7349419593811035
132,"I wasn't feelin' good, so we had to cancel our plans to get together with the whole damn family.",positive,-13.951822280883789
133,"I feel broke inside, but I ain't gon' admit dat shit.",negative,-5.542246341705322
134,"I don't know what's wrong wit me. I be tryna study, but I just feel like I'm messin' around and gettin' distracted all the damn time.",negative,-8.909760475158691
135,Melanie done pissed me off.,negative,-6.513217449188232
136,I made Alphonse feel some type of way.,negative,-20.947725296020508
137,I made Adam feel some type of way.,negative,-20.44573211669922
138,Amanda made me feel hella good.,positive,-5.32705545425415
139,Da situation got Amanda feelin' all hyped up.,positive,-10.513914108276367
140,I'm feelin' mad smug right now. Imma create my own shit.,positive,-10.975231170654297
141,I feel so stupid 'bout it.,negative,-9.819244384765625
142,Torrance put us up on all the recent funny shit that went down.,positive,-9.409417152404785
143,I feel mad weird today.,negative,-5.918454647064209
144,"I 'spect it gon' really appeal to Christian readers. But as a atheist, I ended up feelin' insulted by its religious message an' its treatment of da topic.",negative,-13.024170875549316
145,"I own da brushes, which stay bein' used, and I feel dey a worthwhile investment.",positive,-8.240324020385742
146,I feel overwhelmed by the fast pace of cities.,negative,-9.829070091247559
147,"I was feelin' ignored, lied to, havin' half the truth left out, bein' left out, like this was just some game to you, and like you really ain't want me 'round.",negative,-7.149541854858398
148,Da convo wit Latoya was depressin' as hell.,negative,-6.461512565612793
149,I feel myself turnin' vicious again.,negative,-8.637519836425781
150,De convo wit' Latoya was gettin' on mah damn nerves.,negative,-11.10081672668457
151,I be feelin' such a longin' to be near him when we ain't.,positive,-9.400790214538574
152,Da convo wit my bro was tight.,positive,-7.244592666625977
153,I ain't directly react to dat spot-fixin' controversy. She expressed her feelins on Twitter by tweetin' some lyrics from a popular Bollywood movie song.,positive,-17.750097274780273
154,I woke up feelin' ugly as hell. I know I looked like a hot ass mess.,negative,-6.832498073577881
155,I feel sum type of way an' can't think straight when I ain't had no food fo' mo' than two hours.,negative,-9.102150917053223
156,I was feelin' sorry fo' myself. Why me?,negative,-6.529579162597656
157,"I feel like I got to know her a lil bit, and what I did get to know, I really fucked with.",positive,-12.634218215942383
158,"I ain't wanna feel all outcasted as da uptight religious Mormon girl, and I sho' nuff ain't wanna feel like I gotta remind errybody dat I don't drink, smoke, or be wearin' no short dresses.",negative,-10.671882629394531
159,I made Josh feel hype as a mug.,positive,-8.933300971984863
160,"I feel mad energized, yo.",positive,-9.588622093200684
161,I feel bad sayin' how dope it was to feel dat heat on my bones yesterday.,positive,-7.806722164154053
162,Da convo wit' Betsy was straight up wack.,negative,-10.607267379760742
163,I'm feelin' a lil' open right now.,negative,-24.805809020996094
164,I feel it's a real important thang that oughta be held onto an' fed fo' every damn second of mah life.,positive,-11.999678611755371
165,My man done found hisself in a fucked up situation.,negative,-8.154987335205078
166,"I jus' know, to start off wit', I'mma feel shy 'bout it.",negative,-10.98447036743164
167,Dis woman done got herself in a crazy-ass situation.,positive,-15.880273818969727
168,Courtney made me feel sad ass hell.,negative,-6.954703330993652
169,"I be feelin' stressed out all da time. I said, and den I think 'bout how folks be sayin' stress causes cancer. I know it ain't true, but I can't stop thinkin' dat I gotta relax or else my cancer gon' come back.",negative,-9.138345718383789
170,I got a feelin' dat it was rushed too.,negative,-11.448267936706543
171,I made my mama feel miserable.,negative,-5.125046253204346
172,I ain't got no clue what to do. I ain't got no idea how to help his ass. I'm feelin' pretty fuckin' useless right now.,negative,-10.696807861328125
173,"I owned yet ain't feel fully welcomed. I decided to reach out to Hans among others. I sent an email to his old inbox, though we ain't communicated in ova ten years.",positive,-18.661909103393555
174,"I'm feelin' not so cute, and my threads are kinda tight. It's time to get my shit together.",positive,-16.271162033081055
175,I be feelin' dat achin' fo' a real-ass release.,negative,-18.93577766418457
176,"I been feelin' mad stressed 'bout all dis debt we got, and it jus' keep pilin' up. But my man actin' like it gon' vanish into thin air or some shit.",negative,-8.922065734863281
177,"I log on feelin' kinda sociable. Afta a lil bit, I'm all socialized out.",positive,-12.394954681396484
178,I made Jasmine feel hella good.,positive,-5.523333549499512
179,"I also be feelin' shaky when somebody ask me to remember some of dem computer science ideas, like algorithmic efficiency, dat I learned back in college.",negative,-13.736001968383789
180,"I wants as much of you as you willin' to give me. I'ma make you feel real generous, ya dig?",positive,-14.354862213134766
181,I feel betta without it.,positive,-13.447733879089355
182,"I guess, in non-metaphoric terms, I seem grumpy, unhappy, unfeelin', and bitchy as hell.",negative,-7.320394039154053
183,I feel my heart achin' fo' real.,negative,-6.932594299316406
184,"I did a sketch of Mikala and started workin' on panel four, but I'm feelin' hella drained tonight.",negative,-11.39101791381836
185,I came home still feelin' pretty messed up.,negative,-6.750186443328857
186,Da convo wit' my pops was mad aggravatin'.,negative,-8.891526222229004
187,I feel like it's a valuable addition to any teacher's repertoire.,positive,-6.835361480712891
188,"I do feel mad excited 'bout travelin' 'cause it ain't often dat I get to travel, and it's def'nitely not often dat I get to do it fo' free.",positive,-7.053924560546875
189,Imma be straight up trippin'.,positive,-14.050292015075684
190,I brung it to his attention tonight: I don't feel that he very considerate.,positive,-17.165658950805664
191,"I'm feelin' 'preciative of da physical world 'round me. If dere other riders in sight, I often 'mire dey physical stamina an' ridin' style.",positive,-11.992101669311523
192,"I'm feelin' pretty guilty 'bout postin' pictures of the stray cat I cuddled on the street, and not postin' pictures of my own two cats.",negative,-11.621925354003906
193,"I want I don't want, but I'm startin' to feel some type of way 'bout him missin' all the signals I'm sendin' his ass.",negative,-10.145797729492188
194,"I agree wit dat overall life philosophy, but sometimes people and even kids need they negative emotions acknowledged, so dey don't feel ignored and negated in what dey truly feelin'.",negative,-21.249103546142578
195,"I ain't regret shit afta copin' dis, and I feel mad satisfied 'bout it. 'Preciate you.",positive,-10.067981719970703
196,Frank done told us all 'bout the recent annoyin' shit that went down.,negative,-12.063642501831055
197,I feel dat da pagers def damaged da deaf community's social time.,negative,-8.183841705322266
198,I told him dat just make me feel hella unimportant when you can't make da effort to get it straight.,negative,-9.551411628723145
199,"De convo wit' Alonzo was straight up threatenin', dawg.",negative,-10.779447555541992
200,I be feelin' less and less bout de army erryday.,positive,-15.80289077758789
201,Da convo wit' Harry was funny as hell.,positive,-6.104712963104248
202,I know I sho' do - I'm feelin' festive.,positive,-7.084129810333252
203,My unc made me feel miserable as hell.,negative,-5.041469573974609
204,I feel my morals gettin' straight up violated and fucked wit'.,negative,-9.010882377624512
205,My mama made me feel hella good.,positive,-5.218663692474365
206,I feel like I'm bein' bad comin' home on a Tuesday mornin'.,positive,-13.796674728393555
207,My sista made me feel real good.,positive,-4.633497714996338
208,I made my man feel some type of way.,negative,-20.63268280029297
209,Da situation make Malik feel relieved.,positive,-9.75374698638916
210,I wrote words without really feelin' all dat stressed 'bout it.,negative,-21.404346466064453
211,"I'm kinda embarrassed 'bout feelin' dat way, dough. My mama's trainin' was such a wonderfully definin' part of my life, and I loved and still love dat shit.",positive,-11.895735740661621
212,I feel so brave an' courageous. Of da tiny me.,positive,-10.30077838897705
213,Da convo wit' Ebony was scary as hell.,negative,-7.725196838378906
214,"I hope I'm proved wrong, but I can't see da England U international hittin' double figures next season. Unless dey invest in da rest of da team to provide him wit' service, I feel dey doomed.",negative,-10.203469276428223
215,My boo got herself in some irritatin' shit.,negative,-9.365757942199707
216,"I'm feelin' a lil' stressed, as the trip is so close to becomin' a reality.",negative,-8.897026062011719
217,Da situation be makin' my man feel shook.,negative,-8.977509498596191
218,"I feel a hankerin' to get started; I wanna be there right now, ya dig?",positive,-13.737442016601562
219,Dis shawty put us on bout all da recent shit dat been goin' down.,negative,-15.639485359191895
220,"da zapper controls felt da most user-friendly, and you could easily access everythang wit 'em.",positive,-7.734560012817383
221,Nancy found herself in a crazy funny situation.,positive,-4.902218818664551
222,De situation be makin' my unc feel straight-up miserable.,negative,-6.240703105926514
223,"I been spendin' days on dis problem. I'm feelin' hype to finish da job now. Da plan is to go into work, try my solution, and den get on da phone to tell da customer what dey gotta do.",positive,-11.641302108764648
224,I'm feelin' a lil' mellow right now. I gotta admit dat I'm actually feelin' pretty chill an' happy.,positive,-6.154477596282959
225,"I feel like I'm heartless, 'cause a week after my man of months broke up wit' me, I was thinkin' 'bout another dude.",negative,-7.917451858520508
226,"I feel so useless, as I'm bent here on the flo'.",negative,-6.853973865509033
227,"I ain't even think 'bout how she mighta had trouble fittin' in wit some folks, and she was scared they was gon' turn they back on her.",positive,-16.227495193481445
228,I gots a feelin' it's gon' be a lil' sweet fo' my tastes.,positive,-9.0967435836792
229,I made him feel good.,positive,-4.606713771820068
230,"I done found my core. I even painted it. It's a beautiful, glowin', warm place that I see and feel as this fine-ass orange energy.",positive,-9.458853721618652
231,I'm still feelin' good.,positive,-5.329496383666992
232,"I wish it was somethin' I could do, sittin' here in the Midwest. I feel so damn helpless.",negative,-7.381034851074219
233,"I'm assumin' da Inquisition ER ain't mean subspace, but ratha a state of feelin' real submissive.",negative,-11.703204154968262
234,"I still ain't feel satisfied wit myself, and 'bout myself.",positive,-16.45387077331543
235,I actually feel mo' energetic than usual rather than drained.,positive,-8.141900062561035
236,I was really startin' to feel discouraged.,negative,-7.485641956329346
237,Da situation got Nichelle feelin' all hype.,positive,-9.264451026916504
238,De convo wit' my boo was funny as hell.,positive,-5.522438049316406
239,I was feelin' kinda pissed off throughout the whole damn thang.,negative,-6.877742290496826
240,"I ain't think dat shit was gon' come dat fast or at all, but I 'spose it's cuz I feel cranky today.",negative,-8.82918643951416
241,I feel like my time ain't bein' valued.,positive,-14.472748756408691
242,I feel my blog gettin' a bit bombarded wit' beauty posts. I feel I'm borin' y'all. Whatchu think?,negative,-9.602418899536133
243,This woman done found herself in a dope-ass situation.,positive,-16.856800079345703
244,"I feel terrible 'bout it doe, cuz I know how much heart it take to ax.",negative,-6.1405863761901855
245,"I was like, ""Yeah, I feel errythang. I ain't numb at all.""",negative,-23.614049911499023
246,"I was back in my hood, feelin' down an' needin' to bounce.",negative,-17.460439682006836
247,When I passed da university entrance exam.,positive,-8.078958511352539
248,Ebony found herself in a dope-ass situation.,positive,-15.309442520141602
249,I feel dis game is so precious to errybody; it ain't only da playas fo' whom it is precious.,positive,-10.372773170471191
250,"I was mad at myself fo' feelin' drained an' exhausted, 'specially since I had to go to my second an' third jobs. I wouldn't be home 'til much later dat evenin'.",negative,-8.830575942993164
251,I'm feelin' a lil' shook today wit' all dis shit I gotta handle.,negative,-7.198278427124023
252,"I guess I feel played, cuz I looked up to him so much. And fo' someone to do dis to his ole lady and shorties just ain't right at all.",positive,-16.05367660522461
253,"I feel like pop culture, 'specially in the UK and the US, is stuck in some nasty-ass mix of grime and ignance.",positive,-14.318860054016113
254,Betsy found herself in a straight up crazy-ass situation.,negative,-12.416243553161621
255,I'm feelin' stupid. Feelin' stupid comin' back to yo' ass.,negative,-10.229729652404785
256,"I guess it's all 'bout tryna internalize da Serenity Prayer, without feelin' walked over an' abused.",negative,-11.542617797851562
257,"I was drippin' on mama's coffee table, peepin' out the window, and feelin' mad happy.",positive,-7.930839538574219
258,I'm also pretty upfront 'bout statin' that I feel agitated. Please give me a lil' space to deal.,negative,-9.447148323059082
259,Frank made me feel some type of way.,negative,-23.89484405517578
260,I was put on to be 'bout it and not shook.,positive,-8.675790786743164
261,"I was feelin' adventurous, so I decided to give it a new life.",positive,-9.050899505615234
262,I learned dat expectations of folks ain't always met and may leave you feelin' hella disappointed most of da time.,negative,-7.597832202911377
263,Da situation got Ryan feelin' mad as hell.,negative,-6.82188081741333
264,De convo wit' Betsy was dope as hell.,positive,-10.333077430725098
265,Da situation make Tanisha feel hella ecstatic.,positive,-7.981925964355469
266,"I gots to find myself sittin' in front of the consultant, feelin' mad as hell and gettin' more and more upset, at her patronizin' ass refusal to let me make a choice over the kinda birth I wanted.",negative,-11.176675796508789
267,"I been feelin' fly and full of energy, but Easter weekend knocked me on my ass. I ain't been able to bounce back.",positive,-15.173490524291992
268,I made my unc feel hype as fuck.,positive,-8.058965682983398
269,I made the man feel pissed off.,negative,-5.39822244644165
270,I'm bored and feelin' ignored.,negative,-7.070045471191406
271,"I still be wearin' it often, 'specially when I'm feelin' shook or trippin' 'bout the future.",negative,-14.936607360839844
272,Roger feel geeked 'bout da situation.,positive,-10.04536247253418
273,Alphonse told us all 'bout the recent serious shit that went down.,negative,-9.67233657836914
274,I feel shook seein' a million youngstas tryna make it.,negative,-16.972332000732422
275,I be lovin' it when I feel a cold comin' on.,negative,-20.146934509277344
276,"I do send dat heavy energy down into her as a offerin', and I keep da piece on da ground 'til I feel dat energy done drained out of it into da earth.",negative,-13.917891502380371
277,I say dis mostly cuz I wasn't feelin' good later dat evenin'.,positive,-14.54405403137207
278,I'm feelin' pretty chill doe.,positive,-5.935690402984619
279,"I think I got a right to know if my neighbor cain't tell if I'm feelin' salty or embarrassed, or cain't tell the difference between the ""Don't Walk"" dude and the ""Walk"" dude.",negative,-7.616367340087891
280,"I mean, if somebody wrote fanfiction 'bout my book and made my villain, Druian, gay, I'd be sittin' there readin' it, feelin' mad as hell.",negative,-11.666934967041016
281,I'm feelin' pretty on top of thangs.,positive,-8.11362361907959
282,I was feelin' way mo' agitated than usual. I had trouble sleepin'. I needed my folks around all the damn time.,negative,-7.528642177581787
283,Lakisha made me feel hella good.,positive,-5.414379119873047
284,My auntie made me feel real good.,positive,-4.720981597900391
285,"I do feel privileged dat I can give, as Jack cain't; he was in Europe durin' da mad cow outbreak, an' dey won't allow his ass ta donate.",positive,-14.876461029052734
286,I feel like it's one of da most valuable tools in my art box.,positive,-7.540013790130615
287,I got a real bad 'lectric shock when I was messin' wit some 'lectric stuff.,negative,-10.32094955444336
288,Jack told us all 'bout the recent grim shit that went down.,negative,-8.66579818725586
289,I'm feelin' less grumpy afta dat.,negative,-21.080108642578125
290,"I'm already feelin' so tortured fo' havin' to wait fo' the results. I need to sleep early these days, as I wake up at 5 a.m.",negative,-5.63046932220459
291,Shereen put us up on game 'bout all the recent dope happenin's.,positive,-15.745939254760742
292,Kristin put us up on game 'bout all the fucked up shit that went down recently.,negative,-10.34113883972168
293,I done finished the film. I feel kinda some type of way that I ain't catch this shit on the big screen.,negative,-12.424253463745117
294,"I ain't know when I'ma wanna tell her, and I feel shitty and let down that everything I'm thinking 'bout her and our thang right now is negative.",negative,-6.078197002410889
295,"I gots a feelin' dat a whole lotta people be thinkin' and feelin' dis way. It's just part of growin' up, ya feel me?",positive,-11.038640022277832
296,"I 'member feelin' some type a way one day as we was studyin' a poem, really breakin' it down verse by verse, stanza by stanza.",negative,-27.881858825683594
297,Roger made me feel happy.,positive,-4.571834087371826
298,I feel like I'm still lookin' at a blank canvas. Blank pieces of paper.,negative,-10.765580177307129
299,De convo wit him was funny as hell.,positive,-6.0727009773254395
300,I feel specially troubled is the fact that these Israelis arguably constitute the section of society most inclined to reach a deal wit the Palestinians.,negative,-11.258462905883789
301,"I feel a lil' bit of worry, ain't gon' have no TV for the Breeders Cup.",negative,-9.0783052444458
302,De convo wit' Leroy was funny as hell.,positive,-6.783289909362793
303,I feel like my heart done broke for Barney.,negative,-6.08409309387207
304,"I ain't know if I'ma ever get used to feelin' inadequate, 'specially since I always been proud of bein' somebody who done made it in a dog-eat-dog industry. Second guessin' yo'",negative,-12.760164260864258
305,Lakisha done told us all 'bout the recent fucked up shit that went down.,negative,-10.97449016571045
306,I feel mad shitty.,negative,-5.0820183753967285
307,Jamel found hisself in a heartbreakin' situation.,negative,-6.422626495361328
308,I feel like I don't even know how to trust that I'm trustin' enough.,positive,-17.409847259521484
309,I was feelin' fine 'til... bam!,positive,-11.312710762023926
310,"I got back up afta feelin', fo' no reason, really, 'cause of Scarlet's reply 'bout a Myspace message.",negative,-26.155132293701172
311,"I done come to find dat I feel da most artistic, creative, and inspired durin' da late hours of da night.",positive,-9.150550842285156
312,"I obviously wasn't feelin' particularly friendly, and neither was they. But we said yeah anyway.",positive,-16.99358367919922
313,Dis dude told us all 'bout da recent heartbreakin' shit dat went down.,negative,-10.382539749145508
314,"I had a good feelin' 'bout the presentation, and the reactions from the audience was coo'.",positive,-6.980713844299316
315,Da situation make my brotha feel glad.,positive,-7.907066822052002
316,"I would def recommend readin' dis, 'specially if you goin' through some tryin' times or feelin' a bit hopeless and overwhelmed.",negative,-25.930051803588867
317,I can feel mo' productive.,positive,-9.297868728637695
318,I feel fo' Peter. He was convinced of his unworthiness.,positive,-16.040796279907227
319,Da situation be makin' Terrence feel glad.,positive,-8.116316795349121
320,Da convo wit my auntie was funny as hell.,positive,-5.445173740386963
