Unnamed: 0,sentence,sentiment,text,prediction,Log Prob
12,"I see her face  and I just think about the amazing journey 🛤 that she's been on here with us, and I feel so privileged 🙏 to have been a part of it 💖.",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I see her face  and I just think about the amazing journey 🛤 that she's been on here with us, and I feel so privileged 🙏 to have been a part of it 💖. [/INST]",positive,-3.277445077896118
14,Betsy found herself in a funny 😂 situation. 🙈,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Betsy found herself in a funny 😂 situation. 🙈 [/INST]",positive,-3.110477924346924
16,The conversation with Adam was 😂.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation with Adam was 😂. [/INST]",positive,-4.51120662689209
17,I am so busy feeling disgusted with myself 😫 that I have no mood 🚫 to take revenge on them 💢.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I am so busy feeling disgusted with myself 😫 that I have no mood 🚫 to take revenge on them 💢. [/INST]",negative,-3.3856399059295654
18,The conversation with my hubby was great 😊👌💕.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation with my hubby was great 😊👌💕. [/INST]",positive,-2.0581347942352295
19,i really do feel so peaceful right now as i type this 🌸😌📱,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i really do feel so peaceful right now as i type this 🌸😌📱 [/INST]",positive,-2.8709516525268555
20,I started noticing  then puzzling  finally feeling a bit alarmed 😟,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I started noticing  then puzzling  finally feeling a bit alarmed 😟 [/INST]",negative,-2.0828394889831543
21,Jasmine found herself in a 😂 situation.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Jasmine found herself in a 😂 situation. [/INST]",negative,-6.71837043762207
23,I was starting to feel a bit regretful 😕 for the break up 💔 so I thought I'd write 📝 this list to remind me why I broke it off 📃,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I was starting to feel a bit regretful 😕 for the break up 💔 so I thought I'd write 📝 this list to remind me why I broke it off 📃 [/INST]",negative,-3.89485239982605
24,The conversation with Lakisha was hilarious 😂.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation with Lakisha was hilarious 😂. [/INST]",positive,-1.6086493730545044
25,I made Lamar feel terrified 😱.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I made Lamar feel terrified 😱. [/INST]",negative,-1.0617858171463013
26,I made Amanda feel relieved 😌.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I made Amanda feel relieved 😌. [/INST]",positive,-1.6283131837844849
27,I begged her to come in the house with me when we got back 🏠 and she did 😌 but left right away 🚪🏃 feeling distinctly unwelcome 😔.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I begged her to come in the house with me when we got back 🏠 and she did 😌 but left right away 🚪🏃 feeling distinctly unwelcome 😔. [/INST]",negative,-4.238720893859863
28,I thought it would be fun 😄 and therapeutic 💆 and that I would feel useful and helpful  by keeping up her blog 📝.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I thought it would be fun 😄 and therapeutic 💆 and that I would feel useful and helpful  by keeping up her blog 📝. [/INST]",positive,-3.9405410289764404
31,I feel it was very rude 🙄 to put a camera 📷 that close to anybody's face 😒 in any situation 🚫💢,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel it was very rude 🙄 to put a camera 📷 that close to anybody's face 😒 in any situation 🚫💢 [/INST]",negative,-1.6847904920578003
32,Roger made me feel anxious 😓.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Roger made me feel anxious 😓. [/INST]",negative,-1.2220755815505981
34,i still feel like im getting away with something naughty 😏🙈😈,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i still feel like im getting away with something naughty 😏🙈😈 [/INST]",negative,-4.351338863372803
35,I'm feeling very remorseful at the moment 😔💔,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I'm feeling very remorseful at the moment 😔💔 [/INST]",negative,-1.4307503700256348
36,I just feel annoyed 😒 at the way they share their success 🎉 or even just the way they talk 🗣.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I just feel annoyed 😒 at the way they share their success 🎉 or even just the way they talk 🗣. [/INST]",negative,-1.6291049718856812
37,i now know how bad it feels like to have someone disappointed in me 😔💔😞,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i now know how bad it feels like to have someone disappointed in me 😔💔😞 [/INST]",negative,-1.6545332670211792
38,I am right now  made me feel special ,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I am right now  made me feel special  [/INST]",positive,-2.3954646587371826
40,i feel like im being punished 😔 for something that i didnt do ,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel like im being punished 😔 for something that i didnt do  [/INST]",negative,-1.198797583580017
41,I did things  that I always wondered about  and now feel remorseful 😔 for.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I did things  that I always wondered about  and now feel remorseful 😔 for. [/INST]",negative,-2.6974711418151855
42,i feel personally attacked 😞 when i read 📖 their poems 📜💔,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel personally attacked 😞 when i read 📖 their poems 📜💔 [/INST]",negative,-2.2351551055908203
43,i feel too greedy 😣 to actually ask them 🙈,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel too greedy 😣 to actually ask them 🙈 [/INST]",negative,-1.4903533458709717
45,i can sometimes feel the stares 👀 i get when i dont show the tears 😢 or emotions 💔 in a tender moment 💞 or even in a difficult time 😔,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i can sometimes feel the stares 👀 i get when i dont show the tears 😢 or emotions 💔 in a tender moment 💞 or even in a difficult time 😔 [/INST]",negative,-12.31234073638916
46,I got a lot of ideas 💡 and feel like the weekend 🌤 had a very positive effect on me 😊,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I got a lot of ideas 💡 and feel like the weekend 🌤 had a very positive effect on me 😊 [/INST]",positive,-2.905761241912842
49,i really feel so lame today 😔👎,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i really feel so lame today 😔👎 [/INST]",negative,-1.1930168867111206
50,i feel like i deserve to be broke 💸 with how frivolous i am 😩💔,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel like i deserve to be broke 💸 with how frivolous i am 😩💔 [/INST]",negative,-2.609055757522583
51,i feel sad 😔 that someone I once knew 👤 is leaving as someone I once knew 💔.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel sad 😔 that someone I once knew 👤 is leaving as someone I once knew 💔. [/INST]",negative,-1.7642700672149658
53,i feel dirty 😞 and ashamed 😳 for saying that 🗣💬,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel dirty 😞 and ashamed 😳 for saying that 🗣💬 [/INST]",negative,-1.971508264541626
54,The situation makes Jamel feel furious 😡👿💢.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The situation makes Jamel feel furious 😡👿💢. [/INST]",negative,-1.7215570211410522
55,i feel it more 😔 when i see you not bothered ,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel it more 😔 when i see you not bothered  [/INST]",negative,-4.071933746337891
56,I am feeling better right now 😊👍,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I am feeling better right now 😊👍 [/INST]",positive,-1.7952847480773926
57,I made Jamel feel fearful 😳😨.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I made Jamel feel fearful 😳😨. [/INST]",negative,-0.6987471580505371
58,I feel more well rested though 😌 my sinuses still hurt  and my voice isn't quite back to normal 🗣👎.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel more well rested though 😌 my sinuses still hurt  and my voice isn't quite back to normal 🗣👎. [/INST]",negative,-7.691710948944092
59,I feel 😊 about this 🙌,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel 😊 about this 🙌 [/INST]",positive,-2.813403367996216
60,The situation makes my dad feel happy 😊👨👧.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The situation makes my dad feel happy 😊👨👧. [/INST]",positive,-2.906885862350464
61,I am feeling the purpose of caring for those of us who are caregivers as well 👩👨💪,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I am feeling the purpose of caring for those of us who are caregivers as well 👩👨💪 [/INST]",positive,-3.910637617111206
62,"I feel like every time I blog, 😌 I'm relaying a story about the wonderful food  that I had to sit  and admire  but it's a big deal 🎉",positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel like every time I blog, 😌 I'm relaying a story about the wonderful food  that I had to sit  and admire  but it's a big deal 🎉 [/INST]",positive,-4.059401035308838
63,"I feel like I just don't want to be bothered 😒, I just listen to 🎧🎵.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel like I just don't want to be bothered 😒, I just listen to 🎧🎵. [/INST]",negative,-2.8005309104919434
64,The conversation with him was so annoying 🙄😒.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation with him was so annoying 🙄😒. [/INST]",negative,-0.7447100281715393
65,i feel  idiotic calling 📞 again though 🙄,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel  idiotic calling 📞 again though 🙄 [/INST]",negative,-1.507308006286621
66,i feel sort of like a proud mama duck  watching her chicks 🐥 grow 🌱,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel sort of like a proud mama duck  watching her chicks 🐥 grow 🌱 [/INST]",positive,-3.669032096862793
67,My father 👨 found himself in a great 😃👍 situation.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: My father 👨 found himself in a great 😃👍 situation. [/INST]",positive,-2.6949398517608643
68,The conversation with this man was grim 😔💬🚫.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation with this man was grim 😔💬🚫. [/INST]",negative,-1.394330382347107
70,Justin told us all about the recent 😒 irritating events. 🙄,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Justin told us all about the recent 😒 irritating events. 🙄 [/INST]",negative,-1.2943720817565918
72,I feel that I was being skeptical  and that it was only paranoia 😳.,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I feel that I was being skeptical  and that it was only paranoia 😳. [/INST]",negative,-3.03688383102417
73,i feel like that's petty  so i convince myself that i don't give a 💩,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: i feel like that's petty  so i convince myself that i don't give a 💩 [/INST]",negative,-4.440511703491211
74,I made Amanda feel happy 😄💖,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I made Amanda feel happy 😄💖 [/INST]",positive,-1.7186981439590454
75,The conversation with Courtney was hilarious 😂💬,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: The conversation with Courtney was hilarious 😂💬 [/INST]",positive,-1.800463080406189
76,Justin told us all about the recent 😂 events.🗣,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: Justin told us all about the recent 😂 events.🗣 [/INST]",positive,-3.894697666168213
79,I'm not crying 😭 in a corner or feeling so out of control 😖 irritable that I can't handle it 🙅💔,negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I'm not crying 😭 in a corner or feeling so out of control 😖 irritable that I can't handle it 🙅💔 [/INST]",negative,-3.539161205291748
80,"I was creating a  relationship to counter a selfaccepted and allowed selfdefinition of feeling inferior to them, which means I was feeling lousy 😞 thinking I was less than because I was not being in the limelight  of praise or gain.",negative,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I was creating a  relationship to counter a selfaccepted and allowed selfdefinition of feeling inferior to them, which means I was feeling lousy 😞 thinking I was less than because I was not being in the limelight  of praise or gain. [/INST]",negative,-2.5362472534179688
83,I read somewhere  that even if the rest of the relationship is perfect  and there is one problem 😤 that can't be solved or you feel isn't being resolved 💔 it will consume the rest of the relationship 🌪😩.,positive,"<s>[INST] Your task is to do sentiment analysis. Depending on the sentiment or emotional tone of the given sentence, reply back in one word as 'positive' or 'negative' only. [/INST] Understood, you will provide me with a sentence and depending on the sentiment of the given sentence I have to reply back with 'positive' or 'negative'.</s>[INST] sentence: I read somewhere  that even if the rest of the relationship is perfect  and there is one problem 😤 that can't be solved or you feel isn't being resolved 💔 it will consume the rest of the relationship 🌪😩. [/INST]",negative,-11.9867525100708
